"","lon","lat","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9"
"1",-96.55437,17.83937,230,255,200,2941,546,58,75,1502,193,673,245,108,60,2094,317,139,178,241,227
"2",-99.10965,26.5257,230,301,145,542,112,16,57,228,65,164,73,128,42,6096,374,72,302,273,162
"3",-100.27032,25.5498,205,262,139,610,157,13,86,326,41,248,41,126,48,4875,328,66,262,237,153
"4",-100.54192,26.5413,209,273,132,445,110,12,72,221,44,162,45,132,45,5474,344,56,288,268,150
"5",-97.37667,20.44594,241,275,194,1189,223,40,53,484,124,396,152,99,52,3311,330,142,188,263,203
"6",-98.38869,26.17439,233,295,155,562,100,13,53,215,73,171,87,123,43,5477,365,85,280,274,173
"7",-99.1154,26.51464,231,303,146,537,111,16,58,229,65,161,72,128,42,6111,375,73,302,274,163
"8",-99.11537,26.51466,231,303,146,537,111,16,58,229,65,161,72,128,42,6111,375,73,302,274,163
"9",-99.11538,26.51468,231,303,146,537,111,16,58,229,65,161,72,128,42,6111,375,73,302,274,163
"10",-99.43953,21.82941,212,246,166,804,193,12,86,439,45,305,52,134,58,3232,325,95,230,236,180
"11",-98.38067,26.18386,233,295,155,562,101,13,53,216,73,169,87,123,43,5497,365,85,280,274,172
"12",-100.27039,25.54986,205,262,139,610,157,13,86,326,41,248,41,126,48,4875,328,66,262,237,153
"13",-99.15972,21.58761,214,248,168,2045,458,48,79,1045,148,742,151,132,57,3243,324,95,229,240,181
"14",-100.34183,25.59838,163,198,120,547,130,9,80,289,39,228,42,133,60,3055,266,47,219,192,129
"15",-100.94911,25.28409,157,201,103,430,68,12,56,194,47,180,51,153,59,3892,284,27,257,195,113
"16",-99.11621,26.51486,231,303,146,537,111,16,58,229,65,161,72,128,42,6111,375,73,302,274,163
"17",-99.12666,26.5304,231,303,145,537,110,16,58,227,65,163,72,128,42,6144,375,73,302,274,163
"18",-98.33944,28.47173,216,291,126,636,94,23,40,216,98,175,104,135,42,6406,365,47,318,264,144
"19",-99.11221,26.51644,231,303,146,537,111,16,58,229,65,161,72,128,42,6111,375,73,302,274,163
"20",-97.82454,28.54423,213,285,129,752,113,30,38,253,119,213,126,126,41,6094,356,54,302,261,144
"21",-99.84609,28.52293,219,297,128,546,79,21,46,198,72,159,74,134,42,6550,370,51,319,267,138
"22",-97.38337,28.64987,214,284,133,889,123,35,35,295,138,264,150,124,42,5880,352,59,293,260,147
"23",-98.81104,26.48993,232,300,150,543,108,17,54,216,73,154,81,130,43,5839,374,77,297,275,168
"24",-99.13561,27.21006,227,299,141,508,102,15,55,203,64,135,72,134,43,6152,372,64,308,273,158
"25",-99.4444,27.04462,233,306,145,532,128,12,71,250,52,132,62,134,42,6269,380,68,312,279,163
"26",-98.00961,29.21949,207,286,118,746,101,34,32,241,133,181,140,131,41,6508,358,39,319,244,134
"27",-99.17781,28.93802,211,288,121,625,90,27,40,222,92,176,95,137,42,6487,363,41,322,250,140
"28",-98.42495,27.86446,216,287,131,643,112,24,48,237,94,181,96,134,43,6044,360,53,307,261,147
"29",-97.67971,26.88973,224,286,148,661,128,18,52,261,94,186,108,103,39,5381,341,83,258,265,194
"30",-98.25125,28.47258,215,290,127,655,96,24,39,223,102,177,109,134,42,6332,364,48,316,263,144
"31",-97.76646,28.40079,216,288,132,763,116,31,38,259,122,218,129,123,41,6075,356,59,297,263,147
"32",-99.5235,27.50969,234,309,146,430,79,12,52,162,54,115,63,132,42,6356,381,70,311,282,165
"33",-97.50237,28.9098,210,283,126,856,127,38,35,273,147,214,158,128,42,6091,354,50,304,244,141
"34",-99.41052,29.77445,187,267,97,710,93,33,35,235,108,208,108,136,41,6658,339,15,324,237,97
"35",-99.11106,27.42115,225,297,138,503,94,16,52,194,67,135,74,135,43,6183,371,61,310,271,156
"36",-99.49441,27.49944,234,309,147,429,78,12,51,161,55,114,64,132,42,6337,381,70,311,282,165
"37",-99.41051,28.29925,219,297,130,560,83,24,44,208,79,153,81,137,42,6491,373,54,319,266,148
"38",-99.52332,27.5121,234,309,146,430,79,12,52,162,54,115,63,132,42,6356,381,70,311,282,165
"39",-99.1116,26.5162,231,303,146,537,111,16,58,229,65,161,72,128,42,6111,375,73,302,274,163
"40",-97.79441,28.57295,213,286,129,761,114,30,37,254,121,215,129,127,41,6118,357,54,303,261,144
