"","lon","lat","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9"
"1",-97.18722,27.65695,223,286,147,782,148,28,48,322,124,192,135,82,34,5473,329,90,239,268,159
"2",-97.15156,25.99902,229,284,160,706,170,19,62,298,98,161,129,82,36,4868,326,104,222,269,198
"3",-97.29587,27.42936,223,285,147,740,143,23,50,306,114,192,126,87,36,5394,330,89,241,266,160
"5",-97.11967,27.748,222,286,145,816,152,30,46,328,129,207,143,82,34,5531,328,87,241,268,187
"6",-97.18603,27.64635,223,287,147,782,148,28,48,322,124,192,135,82,34,5488,329,90,239,268,159
"11",-97.164,26.103,228,284,158,702,171,18,62,294,98,158,132,80,35,4933,325,102,223,268,196
"14",-97.29548,27.42973,223,285,147,740,143,23,50,306,114,192,126,87,36,5394,330,89,241,266,160
"17",-97.65672,26.16418,230,288,162,673,134,22,51,273,96,188,108,101,41,4977,342,99,243,269,174
"20",-97.17171,26.13903,227,283,157,700,168,19,61,292,98,159,130,80,35,4944,325,101,224,268,196
"21",-97.17077,26.13842,227,283,157,700,168,19,61,292,98,159,130,80,35,4944,325,101,224,268,196
"28",-98.149,26.934,226,291,147,618,113,19,51,239,87,181,98,123,43,5606,360,77,283,267,163
"29",-98.87953,26.55722,231,299,148,538,109,17,56,217,71,153,78,130,43,5889,372,74,298,273,166
"32",-97.3200820748739,25.4303634044856,232,286,166,746,161,22,54,304,98,193,127,98,42,4750,338,105,233,270,204
"34",-97.5700860928663,24.890384192329,235,288,169,727,147,21,50,295,97,190,128,110,44,4709,345,100,245,270,209
"35",-97.16,25.9899999992562,229,284,160,703,169,19,61,297,98,160,129,82,36,4868,327,104,223,269,198
"37",-97.18,27.67,223,287,146,787,148,28,47,323,125,195,137,82,34,5498,329,90,239,268,158
"38",-97.2,27.65,223,287,147,779,147,28,48,321,124,191,135,82,34,5497,329,90,239,268,159
"40",-97.6600869771907,24.5503976982153,237,288,173,750,151,19,52,303,91,217,127,113,46,4549,346,104,242,285,212
