"AUC","AUC.diff","ORate.MPT","ORate.10PT","TSS.MPT","TSS.10PT","bio_2.contribution","bio_4.contribution","bio_6.contribution","bio_10.contribution","bio_13.contribution","bio_14.contribution","bio_18.contribution","bio_2.permutation.importance","bio_4.permutation.importance","bio_6.permutation.importance","bio_10.permutation.importance","bio_13.permutation.importance","bio_14.permutation.importance","bio_18.permutation.importance","type","filter"
0.88215,0.03031,0.02,0.22,0.589,0.5523,64.34366,0.06864,2.47868,0.35622,0.66356,11.31698,20.7723,24.27788,0.23502,1.10824,1.55982,12.07884,19.33238,41.4078,"100","pca2"
0.88925,0.02745,0.02,0.1,0.5965,0.6689,63.87918,0.08184,2.99952,0.37084,0.65622,11.5606,20.45186,28.99228,1.8594,0.88236,0.74074,11.00104,16.7437,39.7805,"100","pca2"
0.87944,0.03802,0.04,0.18,0.5739,0.6031,62.4943,0.27242,4.09112,0.3288,0.70474,11.06642,21.04216,23.3375,2.16914,1.8635,0.62222,13.54088,20.2547,38.21206,"100","pca2"
0.87865,0.03571,0.04,0.2,0.5533,0.5707,64.38928,0.05212,2.38816,0.34254,0.78776,11.35238,20.6877,26.6582,0.65624,0.30014,0.65396,11.93612,16.62138,43.17398,"100","pca2"
0.88113,0.02433,0.02,0.2,0.5878,0.5781,63.93246,0.07138,2.72786,0.3515,0.7803,11.5004,20.63606,30.69702,0.10888,0.43834,0.93024,14.55382,17.95374,35.31794,"100","pca2"
0.88695,0.03425,0.04,0.16,0.5777,0.62,64.1381,0.04286,2.75316,0.35664,0.67072,11.33404,20.70446,28.88312,0.39194,1.0812,0.80774,9.73242,16.93244,42.17112,"100","pca2"
0.88962,0.02302,0.06,0.16,0.5482,0.6174,64.58084,0.07164,2.39356,0.32192,0.65192,11.27174,20.70832,28.11946,0.07498,0.21018,0.5847,12.58052,19.42792,39.00224,"100","pca2"
0.88391,0.02469,0.02,0.18,0.5844,0.6024,63.83014,0.07584,3.04514,0.44464,0.66086,11.17302,20.77044,24.2662,3.29866,1.5337,2.76258,10.58452,14.83262,42.72178,"100","pca2"
0.88149,0.03297,0.02,0.18,0.5752,0.5952,63.7965,0.02318,2.86412,0.2495,0.74356,11.34548,20.97768,29.03042,1.1426,0.22162,1.37576,10.61358,16.53006,41.08592,"100","pca2"
0.8821,0.0496,0.04,0.18,0.5758,0.584,63.7885,0.09174,2.70384,0.35482,0.92064,11.13318,21.0073,23.40668,3.95956,2.60446,2.29902,14.17844,18.38028,35.17156,"100","pca2"
0.885885,0.021795,0.02,0.2,0.5952,0.5729,64.84732,0.0434,2.2179,0.23714,0.6098,11.67492,20.36948,25.46886,1.13558,0.637,0.38872,10.6813,15.6139,46.07464,"100","pca2"
