"","name","decimalLongitude","decimalLatitude","stateProvince","issues","geodeticDatum","country","locality","catalogNumber","institutionCode","recordNumber","county","datasetName","infraspecificEpithet"
"1","Lophuromys woosnami",28.70907,-2.41051,"Sud-Kivu","","WGS84","Congo, Democratic Republic of the","Kahuzi-Biega NP, Kasirusiru","38663","LSUMZ",NA,NA,NA,NA
"2","Lophuromys woosnami",28.69366,-2.37772,"Sud-Kivu","","WGS84","Congo, Democratic Republic of the","Kahuzi-Biega NP, Mt Biega","38684","LSUMZ",NA,NA,NA,NA
"3","Lophuromys woosnami",28.69435,-2.41031,"Sud-Kivu","","WGS84","Congo, Democratic Republic of the","Kahuzi-Biega NP, Karashomwa","38674","LSUMZ",NA,NA,NA,NA
"4","Lophuromys woosnami",28.69332,-2.41077,"Sud-Kivu","","WGS84","Congo, Democratic Republic of the","Kahuzi-Biega NP, Lushanja swamp","38673","LSUMZ",NA,NA,NA,NA
"9","Lophuromys woosnami",28.71032,-2.40693,"Sud-Kivu","","WGS84","Congo, Democratic Republic of the","Kahuzi-Biega NP, Kasirusiru","38671","LSUMZ",NA,NA,NA,NA
"17","Lophuromys woosnami",28.69206,-2.38082,"Sud-Kivu","","WGS84","Congo, Democratic Republic of the","Kahuzi-Biega NP, Mt Biega","38660","LSUMZ",NA,NA,NA,NA
"27","Lophuromys woosnami",28.77683,-2.21812,"Sud-Kivu","","WGS84","Congo, Democratic Republic of the","Kahuzi-Biega NP, Tshibati","38683","LSUMZ",NA,NA,NA,NA
"29","Lophuromys woosnami",28.66512,-2.27386,"Sud-Kivu","","WGS84","Congo, Democratic Republic of the","Mt Kahuzi, near Mugaba Gate","37793","LSUMZ",NA,NA,NA,NA
"33","Lophuromys woosnami",28.66354,-2.26711,"Sud-Kivu","","WGS84","Congo, Democratic Republic of the","Mt Kahuzi, near Mugaba Gate","37797","LSUMZ",NA,NA,NA,NA
"37","Lophuromys woosnami",28.667,-2.27027,"Sud-Kivu","","WGS84","Congo, Democratic Republic of the","Mt Kahuzi, near Mugaba Gate","37795","LSUMZ",NA,NA,NA,NA
"67","Lophuromys woosnami",28.67405,-2.25746,"Sud-Kivu","","WGS84","Congo, Democratic Republic of the","Mt Kahuzi","37787","LSUMZ",NA,NA,NA,NA
"73","Lophuromys woosnami",28.67271,-2.25817,"Sud-Kivu","","WGS84","Congo, Democratic Republic of the","Mt Kahuzi","37785","LSUMZ",NA,NA,NA,NA
"74","Lophuromys woosnami",28.67529,-2.25184,"Sud-Kivu","","WGS84","Congo, Democratic Republic of the","Mt Kahuzi","37791","LSUMZ",NA,NA,NA,NA
"81","Lophuromys woosnami",28.74072,-2.32422,"South Kivu","gass84","WGS84","Congo, Democratic Republic of the","Kahuzi-Biega National Park, Mt Bugulumiza","227054","FMNH","DRC-M-163",NA,NA,NA
"82","Lophuromys woosnami",28.89072,-2.97761,"South Kivu","gass84","WGS84","Congo, Democratic Republic of the","Itombwe, Haut plateau Lemera, Kigarama","227060","FMNH","DRC-M-152",NA,NA,NA
"86","Lophuromys woosnami",28.90153,-2.97314,"South Kivu","gass84","WGS84","Congo, Democratic Republic of the","Itombwe, Kangala Forest","227050","FMNH","DRC-M-3",NA,NA,NA
