"","1","5","10","25","50"
"1",1,0,0,0,0
"2",0,0,0,0,0
"3",0,0,0,0,0
"4",1,0,1,0,0
"5",0,0,0,0,0
"6",1,1,0,0,0
"7",1,1,1,1,0
"8",0,0,0,0,0
"9",0,0,0,0,0
"10",1,0,0,0,0
"11",0,0,0,0,0
"12",1,0,0,0,0
"13",0,0,0,0,0
"14",1,0,0,0,0
"15",1,0,0,0,0
"16",0,1,0,1,0
"17",0,0,1,0,0
"18",1,0,0,0,1
"19",0,0,0,0,0
"20",0,0,1,1,0
"21",1,1,0,0,0
"22",1,1,0,0,0
"23",1,0,0,0,0
"24",1,1,1,0,0
"25",1,1,1,0,0
"26",0,0,0,0,0
"27",0,1,0,0,0
"28",0,1,1,0,0
"29",1,0,1,0,0
"30",0,0,0,0,0
"31",1,0,1,0,0
"32",1,0,0,0,0
"33",1,1,0,0,0
"34",1,1,1,1,0
"35",0,1,1,0,1
"36",1,0,0,0,0
"37",0,0,0,0,0
"38",0,0,0,0,0
"39",0,0,0,0,0
"40",0,0,0,0,0
"41",1,0,0,0,0
"42",0,0,0,0,0
"43",0,0,1,0,0
"44",0,0,0,0,0
"45",1,0,0,0,0
"46",0,1,0,0,0
"47",0,0,0,1,0
"48",0,0,0,0,0
"49",0,0,0,0,0
"50",1,0,0,0,0
"51",1,1,1,0,0
"52",1,0,1,1,0
"53",1,0,0,1,0
"54",1,1,1,0,0
"55",1,0,0,0,1
"56",1,0,0,1,0
"57",1,1,0,0,0
"58",1,1,0,0,1
"59",1,0,0,0,0
"60",1,1,1,1,0
"61",1,0,0,0,0
"62",1,0,0,0,0
"63",1,0,0,0,0
"64",1,1,1,0,0
"65",1,1,0,0,0
"66",1,0,0,0,0
"67",1,0,0,0,0
"68",1,1,1,0,0
"69",1,0,0,0,0
"70",1,0,0,0,0
"71",1,0,1,0,1
"72",1,1,0,0,0
"73",1,1,1,0,0
"74",1,0,0,0,0
"75",1,1,0,0,0
"76",1,0,0,0,0
"77",1,1,0,1,0
"78",1,0,0,0,1
"79",1,1,1,1,0
"80",1,0,0,0,0
"81",1,0,0,0,0
"82",1,1,0,0,0
"83",1,1,1,1,1
"84",1,1,1,0,0
"85",1,0,0,0,0
"86",1,1,1,0,0
"87",1,1,1,1,0
"88",1,1,1,1,0
"89",1,1,1,1,0
"90",1,1,1,0,0
"91",1,1,1,1,1
"92",1,0,0,0,0
"93",1,1,1,1,1
"94",1,1,0,0,0
"95",1,0,0,0,0
"96",1,1,1,1,1
"97",1,1,1,0,0
"98",1,0,0,0,0
"99",0,0,0,0,0
"100",1,1,1,0,0
"101",1,0,1,0,0
"102",1,0,0,0,1
"103",1,1,1,0,1
"104",1,1,0,1,0
"105",1,1,0,0,0
"106",1,1,1,0,1
"107",1,1,1,1,0
"108",1,1,0,0,0
"109",1,1,1,0,0
"110",1,1,1,1,1
"111",1,1,1,1,0
"112",1,1,0,0,0
"113",1,1,0,0,0
"114",1,1,1,0,1
"115",1,1,1,0,0
"116",1,0,1,1,0
